text,label
The internet increases customer benefits in many ways that have revolutionised marketing practices. Discuss with examples THREE (3) ways in which internet increases customer benefits from products offered online.,Understand
State and explain rules of inference.,Remember
Judge the validity of arguments for and against astrology,Evaluate
Explain how control transfer instructions are executed using the call gate in the system?,Analyze
Select the appropriate statistical tests for hypothesis testing.,Analyze
Synthesize any FIVE (5) factors that  should be considered  when  devising a safe system to undertake a task in an organization.,Create
Show that the analytic function f (z) with constant modulus is constant.,Analyze
Explain basic concept of Hash table?,Understand
State advantages and disadvantages of LFP Battery.,Remember
Draw a picture of the gown Cinderella wore to the ball.,Apply
How do you make a choice between attending a social event or studying for an exam?,Evaluate
Could you explain the reasoning behind this approach?,Understand
Describe in brief process description of manufacture of Olefin by polymerization using phosphoric acid on solid carrier as catalyst.,Apply
Draw hydraulic circuit for sequential operation of two cylinders.,Apply
Explain 2D interpolation methods.,Remember
Explain linked organization with respect to file handling.,Remember
Solve a hypothetical scenario involving a ransomware attack on a critical infrastructure system and propose strategies for recovery and prevention.,Apply
What do you understand by Leadership in Energy and Environmental desing (LEED)?,Remember
Write short note on lamination methods.,Remember
Create a poster that promote jeans to local senior citizen which appeal directly to a multiracial citizen in Malaysia.,Create
"Discuss the principles of digital-to-analog conversion (DAC) and analog-to-digital conversion (ADC), explaining their implementations and performance parameters.",Understand
Quote the definition of a pile cap in deep foundation design?,Remember
Briefly describe FOUR principles in selecting and purchasing breeding stock. ,Understand
Design a new system for automatically detecting and mitigating zero-day vulnerabilities in enterprise software applications before they can be exploited by attackers.,Create
Define mercantilism.,Remember
Support your answers with ONE (1) example in everyday life for EACH theory. ,Evaluate
Calculate the variance of demand for the winery. ,Apply
How do you build a functional autonomous drone for aerial photography?,Create
"Justify the following statement. ""It is possible for a firm to experience diminishing marginal return and diseconomies of scale at the same timeâ. ",Evaluate
Find angle between the tangents to the curve 232 rt i t jt kï½ï«ï­ at the points t = 1 and t = â1.,Apply
When did you born ?,Remember
Demonstrate the steps of a mechanical process through animations.,Apply
Probability of man aged 60 years will live for 70 years is 1 10.,Remember
"There are several factors that influence language teaching and language learning. Name 
and briefly explain the FIVE (5) external factors that you would consider when teaching English Language. ",Understand
Find the condition for symmetry and reciprocity of Z parameter.,Analyze
Enlist the various methods of concrete mix design.,Remember
Differentiate between qualitative and quantitative research.,Understand
Distinguish between ‘land surveyor' and 'quantity surveyor'.,Analyze
Can you quote a famous line from a movie you love?,Remember
“Technology has aided manufacturing and service companies in inventory management.' Justify the statement. ,Evaluate
You are responsible for implementing a data backup and recovery strategy for your organization's critical systems and applications. Compare the advantages and limitations of using traditional tape backups versus cloud-based backup solutions such as AWS Backup and Azure Backup.,Analyze
"Evaluate the structural behavior of different bridge types (e.g., arch bridge, suspension bridge, cable-stayed bridge) under various loading conditions and environmental factors.",Analyze
Examine the purpose of a stormwater drainage system in urban planning?,Remember
Suggest a type of metal for reinforcing a concrete structure.,Create
What is a solar collector?,Remember
"Evaluate the effectiveness of different penetration testing methodologies (e.g., black-box testing, white-box testing, gray-box testing) in identifying vulnerabilities in network infrastructure.",Analyze
Distinguish between synchronous and asynchronous serial communication.,Remember
Discriminate between varying viewpoints on the role of government in healthcare.,Evaluate
Comment on cavitation in brief and suggest the method to reduce it.,Understand
State a main difference between a customer and a contact.,Understand
Explain the concept of circular queue with an example.,Understand
Causes of Gear Tooth Failure explain in detail.,Analyze
Explain how the future of social media can be explained by Web 3.0.  ,Understand
What is earthquake?,Remember
âFirms can use existing brand names or create new brands on the internetâ. Evaluate on the above statement. ,Evaluate
"Recall the main events of a historical period, such as the Renaissance.",Remember
"A healthcare analytics firm is evaluating the accuracy of predictive models for patient readmission risk prediction. Critically analyze the predictive features and model coefficients used in readmission risk algorithms, including demographic data, medical history, and clinical indicators. Recommend feature selection techniques and model interpretability methods to improve prediction accuracy and clinical utility in healthcare settings.",Evaluate
State the problems that could arise from environmental overload of fixed nitrogen due to generous usage of nitrogen fertilizer and suggest a possible solution for this situation. ,Create
"Evaluate F cdrïï²  along the straight line joining points (0, 0, 0) and (2, 1, 3) where ï¨ï©2= F = 3 2 xix z y j z kï«ï­ï«",Apply
Describe THREE factors that affect soil aeration. ,Understand
Explain the concept of current mirror circuit?,Remember
Draw a production possibility curve to show the combination of flats and houses which could be achieved on the site. ,Apply
Explore the role of Task Register in multitasking and the instructions used to modify and read Task Register.,Remember
Debate the ethical considerations of using autonomous robots in elder care and healthcare assistance.,Evaluate
Formulate a method for optimizing the design of sustainable drainage systems (SuDS) to manage stormwater runoff and reduce urban flooding.,Create
What strategies can you use to identify redundant information in a complex market analysis?,Analyze
List down the various sensors used in the Electronic Fuel Injection system.,Remember
Evaluate the evidence supporting the use of blockchain technology for ensuring data integrity in supply chain management systems.,Apply
Analyze the potential societal impacts of integrating autonomous vehicles into existing transportation systems and urban landscapes.,Apply
Find the coefficient of correlation for following data.,Apply
Explain following routing.,Remember
Paraphrase the legal argument presented in the case.,Understand
What is an eye diagram? Explain the use of eye diagram to measure ISI.,Remember
"Distinguish between narrowband and broadband communication systems, discussing their respective advantages in wireless communication.",Analyze
