text,label
"Based on your knowledge on the physics of semiconductors, evaluate the limit for the minimum feature size of silicon MOSFET.",Evaluation
Evaluate if the contact is ohmic or rectifying (Schottky diode) in nature. Provide the analysis and support your answer with calculation,Evaluation
Describe the flow of MOET procedures in cattle breeding. ,Comprehension
Design or sketch a marketing strategy for your product using a known strategy as a model.,Application
"Explain the trading behavior of hedger, speculator and arbitrageur.",Comprehension
Interpret FIVE (5) emerging trends of technology application in education. ,Comprehension
List two reference parameters in the setHour function,Knowledge
Support your answers with ONE (1) example in everyday life for each theory. ,Evaluation
Describe the advantages of Product Standardization. ,Knowledge
"Differentiate among “external wall', 'internal wall' and 'parapet'. ",Analysis
Discuss the usefulness of HttpSessionActivationListener in web applications.,Comprehension
Describe THREE (3) deposit liabilities for commercial banks. ,Knowledge
Name FOUR enzymes in DNA replication and state their functions. ,Comprehension
Compare the electrical conductivity of an insulator and a semiconductor at room temperature by using the energy band diagram. ,Comprehension
Define the term 'Production Possibility Curve' as used in the timber and steel factory. ,Knowledge
which part of a data packet is used by a router to determine the destination network,Knowledge
Express the following systems in matrix form,Comprehension
Shareholder activism is an important governance mechanism because this is how minority shareholders exercise and enforce their rights. Comment on the effectiveness of shareholder activism. ,Evaluation
"By drawing appropriate diagrams, differentiate between flat file model and database model. ",Analysis
Design a machine to perform a specific task.,Synthesis
Name FIVE vital plant processes that herbicides target. ,Knowledge
Enzymes are applied in the medical field based on their specific functions. List the THREE main areas of clinical enzymology and provide ONE example how enzymes are used in each area. ,Comprehension
Draw a picture of the gown Cinderella wore to the ball.,Application
How do you combine the results of various individual tests to determine whether a student can progress to a next semester / phase / year?,Synthesis
Discuss the biological factors that cause the deterioration of cut flowers.,Comprehension
Suggest a way to deal with this scenario,Application
"Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",Comprehension
Personalization is becoming an important element in Electronic Commerce. Explain TWO (2) techniques that can be used to learn about consumer behavior and how it can be used to facilitate customer service.,Comprehension
Describe what took place as the Hato was sinking.,Comprehension
"Justify the following statement. ""It is possible for a firm to experience diminishing marginal return and diseconomies of scale at the same time”. ",Evaluation
Explain how Referral Networks approach can be used as a tool to increase number of customers.,Application
Use dynamic programming to help the fortune seeker to identify the route which minimizes the total cost of the policy.,Application
Can you analyze the fractures and determine which should be repaired surgically,Analysis
Analyze a distinction. State the point of view of . . .,Analysis
Identify any TWO (2) advantages of matching demand strategy and level strategy each in preparing aggregate production plan. ,Knowledge
Discuss the differences between a stick diagram and an actual layout. ,Comprehension
"Recite the poem ""Auto Wreck"".",Knowledge
Determine the equilibrium price and quantity.,Application
Draw Production Possibilities Frontier and Trading Possibilities Frontier for China and Thailand. Clearly label the total output before specialization and total output after trade in the diagrams.,Comprehension
Define Classical approach and Human Relations approach. ,Knowledge
Investigate innovations that can enhance future Olympics.,Analysis
Draw the energy band diagram of an intrinsic Si and label the band gap energy. ,Comprehension
"Explain how the Utilize technology, media and materials stage in ASSURE model can help creating a more effective teaching and learning environment. ",Comprehension
How might lifestyles in the United States be modified if a more socialistic system were adopted?,Application
Briefly  explain  any  TWO  (2) observations  of information  technology trend using Moore's Law.,Comprehension
Discuss the advantages of real-time data input and over batch processing in expenditure cycle. ,Comprehension
Develop a set of criteria for distinguishing between a good and bad example of this.,Analysis
Explain how the future of social media can be explained by Web 3.0.  ,Comprehension
"Explain what the author means by the statement ""our intellectual powers are geared to master static relations.",Comprehension
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,Evaluation
